21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=2 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:36 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=9 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:37 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
